Pd%,Sn%,Mo%,W%,Desired_Product,undesired_Product,Carbon_in_Solid,FOM#3
1,0.1,2,20,0.0794917926667,0.020008492,0.007441085,1355.55
1,0.1,2,15.5,0.0737906623333,0.0260342456667,0.004557633,2021.77666667
1,0.25,1,15.5,0.083939947,0.01838217,0.003889959,3043.915
1,0.25,1,20,0.101794897333,0.019240444,0.00880850266667,1146.28333333
1,0.25,5,15.5,0.063323748,0.017157472,0.006672937,1788.99
0.5,0.25,5,15.5,0.0997994225,0.0155795425,0.009544019,846.03
0.5,0.5,1,3,0.059596924,0.007659627,0.026780932,391.39
1,0.1,1,3,0.072512929,0.024334343,0.011505369,835.165
0.5,0.1,5,3,0.1280970336,0.0621203986,0.0094053578,373.496
0.5,0.5,2,20,0.0356064525,0.022297266,0.672097276,0.92
0.5,0.5,2,25,0.036703032,0.0187890856667,0.547708273,1.3
0.1,0.25,2,25,0.034892482,0.0280879173333,0.669197912,0.853333333333
0.5,0.25,1,3,0.0959165292,0.0121018978,0.0114452218,1243.97
0.1,0.1,1,15.5,0.051610836,0.0273681755,0.117345239,16.455
0.1,0.25,2,20,0.038244165,0.025341513,0.594320676,1.07
1,0.1,1,25,0.061987861,0.014896414,0.005701019,2258.26
0.1,0.1,1,20,0.052401627,0.0166092565,0.176311242,13.84
0.1,0.1,1,25,0.054718722,0.0156238,0.236117703,10.61
1,0.1,1,20,0.0871411223333,0.0218243083333,0.008634194,840.513333333
0.5,0.1,1,3,0.086765741,0.014293415,0.012179164,1089.92
0.5,0.25,2,15.5,0.083652995,0.015154727,0.007321649,885.57
0.5,0.25,5,3,0.104392658667,0.0456262226667,0.011794028,297.256666667
1,0,2,12.5,0.0439264695,0.0184063265,0.007578095,1328.635
0.5,0.1,1,25,0.0412556165,0.0170242325,0.015273182,446.04
1,0.1,5,15.5,0.077882706,0.027760427,0.005266665,1807.12
0.5,0.1,1,20,0.091424676,0.017780203,0.015754922,250.34
0.1,0.5,1,3,0.03067885,0.0282426035,0.363455505,2.08
1,0.5,2,3,0.078318144,0.0194446795,0.019521147,211.015
1,0.5,1,3,0.09100353525,0.00950760425,0.0116376705,1385.005
1,0.5,5,3,0.140449052,0.118769533,0.010821856,231.47
0.5,0.25,5,25,0.079347319,0.0175740215,0.017744667,382.765
0.5,0.25,5,20,0.096403349,0.013620425,0.019539364,288.8
1,0.25,2,3,0.0893662953333,0.0386697913333,0.011969551,312.976666667
1,0.25,2,0,0.149352967,0.094503848,0.011859602,293.03
0.1,0.25,2,3,0.0466528103333,0.017439638,0.10839901,28.66
0.1,0.5,2,15.5,0.016525788,0.0605847053333,0.551244525,0.236666666667
1,0.25,5,3,0.1031591866,0.0356035312,0.0144177454,365.116
0.1,0.5,2,25,0.039917344,0.0325707975,0.592074039,0.295
0.1,0.5,2,20,0.038198292,0.035265417,0.819341202,0.376666666667
1,0,0,0,0.081187189,0.028639059,0.021530654,106.68
